shard_id,band_idx,band_label,count
75,0,"[0.000,0.050]",15777
75,1,"[0.050,0.100]",5734
75,2,"[0.100,0.150]",3508
75,3,"[0.150,0.200]",2533
76,0,"[0.000,0.050]",15743
76,1,"[0.050,0.100]",5676
76,2,"[0.100,0.150]",3618
76,3,"[0.150,0.200]",2506
77,0,"[0.000,0.050]",15685
77,1,"[0.050,0.100]",5825
77,2,"[0.100,0.150]",3480
77,3,"[0.150,0.200]",2471
78,0,"[0.000,0.050]",15728
78,1,"[0.050,0.100]",5693
78,2,"[0.100,0.150]",3534
78,3,"[0.150,0.200]",2542
79,0,"[0.000,0.050]",15577
79,1,"[0.050,0.100]",5891
79,2,"[0.100,0.150]",3483
79,3,"[0.150,0.200]",2432
